	MareHarA_ref.aa.fasta	MareL28.aa.fasta	MareL32.aa.fasta	MentL30_ref.aa.fasta	MfloJB5_ref.aa.fasta	MfloSJF1_ref.aa.fasta	Minc557R.aa.fasta	MincA14.aa.fasta	MincHarC.aa.fasta	MincL15.aa.fasta	MincL17.aa.fasta	MincL19.aa.fasta	MincL27.aa.fasta	MincL9.aa.fasta	MincVW6.aa.fasta	MincW1_ref.aa.fasta	MjavL57.aa.fasta	MjavVW4_ref.aa.fasta	MjavVW5.aa.fasta
OG0000000	g19831, g17786, g18434, g15537	g15537, g19831, g18434	g19831, g15537, g18434	g30406, g11448, g7709, g25646, g15475, g30511	mf_10186, mf_2389, mf_14836, mf_5524, mf_10192, mf_1143, mf_12286, mf_15033, mf_11373, mf_4441, mf_1815, mf_14049, mf_14938, mf_11295, mf_7719, mf_1678, mf_9603, mf_2380, mf_6963, mf_11419, mf_11, mf_9671, mf_995, mf_5254, mf_381, mf_6206, mf_14460, mf_11239, mf_8565, mf_11284, mf_4804, mf_10798, mf_11096, mf_3882, mf_762, mf_13335, mf_3092, mf_1478, mf_15030, mf_6469, mf_1793, mf_7814, mf_14747, mf_12422, mf_4674, mf_9002, mf_4114, mf_5546, mf_4120, mf_12903, mf_5937, mf_13039, mf_1377, mf_775, mf_8750, mf_2410, mf_4233, mf_1184, mf_7408, mf_2666, mf_13566, mf_11113, mf_1944, mf_9760, mf_3839, mf_8670, mf_12461, mf_6057, mf_3991, mf_8348, mf_14086, mf_3017, mf_8094, mf_13156, mf_5411, mf_11416, mf_11624, mf_11089, mf_11395, mf_613, mf_13451, mf_3135, mf_11288, mf_5814, mf_2007, mf_3740, mf_13425, mf_11313, mf_14065, mf_3546, mf_8034, mf_9964, mf_35, mf_10140, mf_272, mf_14458, mf_100, mf_9582, mf_8402, mf_1647, mf_3238, mf_1641, mf_2864, mf_12412, mf_14843, mf_3660, mf_2763, mf_10584, mf_13707, mf_9200, mf_12332, mf_14905, mf_9783, mf_1538, mf_11959, mf_6951, mf_11748, mf_6466, mf_4888, mf_6601, mf_5596, mf_12790, mf_6401, mf_6227, mf_11877, mf_14432, mf_12879, mf_305, mf_7548, mf_7587	10318.g19004	g19004	g19004	g19004	g4169	g4169	g19004	g19004	g19004	g19004	g19004	g4169	g4169	g4169
OG0000001					mf_541, mf_6768, mf_11701, mf_4028, mf_1147, mf_4357, mf_649, mf_10374, mf_12560, mf_10396, mf_2080, mf_7337, mf_5752, mf_10085, mf_13429, mf_7109, mf_14708, mf_10316, mf_14790, mf_8390, mf_6177, mf_9627, mf_1203, mf_4797, mf_3723, mf_2074, mf_5697, mf_5655, mf_4051, mf_8815, mf_12819, mf_10989, mf_2001, mf_5010, mf_13311, mf_5786, mf_191, mf_8508, mf_7347, mf_2333, mf_2531, mf_8814, mf_10176, mf_3108, mf_11593, mf_9378, mf_9296, mf_12498, mf_13443, mf_6887, mf_7601, mf_4598, mf_6329, mf_5125, mf_9889, mf_2796, mf_1374, mf_1094, mf_3636, mf_6394, mf_8517, mf_4607, mf_665, mf_8366, mf_10040, mf_13636, mf_12113, mf_1341, mf_14994, mf_10844, mf_11547, mf_13164, mf_682, mf_14268, mf_3050, mf_7892, mf_7011, mf_13942, mf_4680, mf_9245, mf_3829, mf_674, mf_11860, mf_999, mf_10052, mf_9661, mf_11608, mf_2954, mf_11465, mf_5287, mf_7232, mf_13388, mf_11752, mf_2314, mf_11351, mf_12663, mf_582, mf_14604, mf_14220, mf_12120, mf_13141, mf_5273, mf_5424, mf_4892, mf_4151, mf_4897, mf_11821, mf_6142, mf_11179, mf_4890, mf_3984, mf_10835, mf_9061, mf_14715, mf_8635, mf_14096, mf_12204, mf_212, mf_92, mf_7923, mf_2195, mf_14423, mf_14390, mf_1206, mf_12723, mf_13270, mf_8029, mf_4404, mf_942, mf_9903, mf_8430, mf_13688, mf_6521, mf_4927, mf_6690, mf_6693, mf_2551, mf_13794, mf_10603, mf_6319, mf_5812, mf_13763, mf_9049, mf_6149, mf_10369, mf_1119, mf_5267, mf_1070														
OG0000002	g1969, g25197, g7155	g25197, g1969, g7155	g25197, g1969	g10973, g11324	mf_5097, mf_12003, mf_1712, mf_11980, mf_10328, mf_9459	1361.g6868, 1365.g14985, 1364.g5110, 16723.g6445, 16722.g14985, 16721.g5110, 1367.g16835, 1366.g6268, 4426.g6445, 6540.g8912, 8855.g5110, 6534.g6445, 4424.g5110, 4425.g14985, 6537.g11341, 6538.g21621, 6531.g7996, 6532.g5110, 6535.g6868, 6536.g18436, 6533.g6268, 4427.g18436, 15352.g13301, 15031.g21621, 16732.g13301, 16733.g8912, 16726.g6268, 16727.g16835, 16724.g18436, 16725.g2580, 16730.g11341, 16731.g21621, 16728.g6868, 16729.g19514, 945.g5110, 13965.g6803, 3496.g13301, 3495.g5110, 7772.g2580, 1374.g13301, 1375.g8912, 1372.g11341, 1373.g21621, 1370.g6868, 1371.g19514, 1368.g6445, 1369.g18436, 946.g6268, 1376.g13300, 4325.g13301, 6539.g13301, 15350.g5110, 15351.g21621	g5110, g13300, g2580, g19514, g8912, g6868, g6803	g6868, g19514, g5110, g2580, g8912, g6803, g13300	g6868, g8912, g5110, g19514, g13300, g2580, g6803	g16703	g16703	g5110, g8912, g6803, g6868, g19514, g2580, g13300	g19514, g5110, g6803, g8912, g13300, g2580, g6868	g6803, g6868, g2580, g5110, g13300, g8912, g19514	g13300, g6803, g6868, g8912, g5110, g2580, g19514	g5110, g19514, g13300, g2580, g6868, g6803, g8912	g16703	g16703	g16703
OG0000003	g8153, g5689, g19508, g17983, g13940, g11936, g20024, g23845, g10255, g11695, g15422, g26878	g17983, g8153, g26878, g15422, g13940, g11695, g11936	g19508, g17983, g13940, g15422, g23845, g11936, g5689, g26878, g8153	g27850	mf_6459, mf_5370	8840.g11200, 7464.g18765, 7463.g14235, 12024.g18765, 7465.g11200, 5923.g10840, 16070.g18765, 7462.g24370, 5926.g11200, 5924.g18765, 5925.g14235, 14360.g11200, 7461.g10840	g10840, g11200, g18765, g14235, g24370	g18765, g10840, g14235, g11200	g10840, g11200, g24370, g18765, g14235	g1736, g4565, g18272, g17541, g10678, g11044, g15401, g7970	g15401, g11044, g18272, g17541, g10678, g1736, g7970, g4565	g14235, g11200, g18765, g10840, g24370	g10840, g14235, g24370	g24370, g18765, g10840, g14235, g11200	g14235, g18765, g10840, g24370, g11200	g11200, g18765, g24370, g14235, g10840	g4565, g7970, g17541, g15401, g1736, g11044, g18272, g10678	g22356, g1736, g15401, g14361, g4565, g18272, g17541, g10678, g11044, g7970	g10678, g4565, g7970, g15401, g18272, g14361, g1736, g11044
OG0000004	g4927, g7397, g7399, g6530, g1847, g7995	g7399, g7397, g7995, g6530, g1847	g6530, g7995, g7397, g4927, g7399	g30697	mf_3018, mf_8093, mf_2309, mf_5887, mf_11291, mf_6589, mf_13933, mf_5244, mf_6287, mf_7868, mf_12010, mf_4461, mf_3545, mf_9896, mf_10288, mf_1939, mf_3052, mf_912, mf_2977, mf_5032, mf_2126, mf_9698, mf_3072, mf_13273	10085.g8575, 15156.g7419, 15155.g1308, 12200.g8575	g1309, g1308, g18618, g7419, g8575	g1309, g1308, g7419, g18618, g8575	g18618, g8575, g1309, g1308, g7419	g945, g9235, g17378, g2811	g2811, g17378, g945, g9235	g18618, g1308, g7419, g1309, g8575	g18618, g1309, g8575, g7419, g1308	g18618, g8575, g7419, g1308, g1309	g1309, g1308, g18618, g8575, g7419	g1308, g18618, g7419, g1309, g8575	g2811, g17378, g9235, g945	g20873, g9235, g945, g15293, g21279, g2811, g17378	g945, g2811, g9235, g17378
OG0000005	g7968, g23253, g22083, g25087, g14618, g14431, g13324, g7969, g5894, g14863	g22083, g13324, g14618, g5894, g16610, g14431, g7969, g25087, g14863	g25087, g23253, g22083, g5894, g14431, g14618, g7969, g14863	g4411	mf_4943, mf_1295, mf_1522, mf_14953	11370.g7002, 15821.g14331, 15824.g12045, 1274.g12045, 1271.g14331, 1272.g2583, 15823.g2781, 1270.g7002, 15822.g2583, 1273.g2781, 10223.g7002, 7354.g2583, 1724.g7002, 6037.g7002, 9931.g12045	g2781, g11179, g2583, g14331, g12045	g2781, g12045, g2583, g14331	g2781, g11179, g12045, g2583, g14331			g14331, g2583, g11179, g2781, g12045	g12045, g2781, g14331, g11179, g2583	g11179, g2583, g14331, g2781, g12045	g11179, g2583, g12045, g14331, g2781	g2583, g12045, g2781, g14331		g23946	
OG0000006	g20992, g15768, g27130, g8861, g23285, g1183, g12519, g12518, g5626, g6160	g20992, g27130, g5626, g6160, g23285	g5626, g27130, g6160, g20992, g12519	g18222, g24926, g699, g18360	mf_8984, mf_1789, mf_6592	1409.g820, 7103.g13869, 2316.g14201, 7099.g17564, 7098.g13820, 503.g13869, 2320.g13869, 2315.g17564, 7101.g820, 7100.g819, 2318.g820, 2317.g819, 2314.g13820, 14498.g13820	g13820, g17564, g820, g819	g819, g820, g17564, g13820	g17564, g819, g820, g13820	g17970, g17971	g17970, g17971	g820, g819, g17564, g13820	g17564, g819, g820, g13820	g819, g17564, g820, g13820	g13820, g17564, g820, g819	g17564, g13820, g820, g819	g17970, g17971	g17971, g17970, g20351, g22589	g17970, g17971
OG0000007	g22226, g24435, g19931, g22199	g24435, g22226, g22199, g19931	g24435, g22199, g19931, g22226		mf_5505, mf_2861, mf_9590, mf_10445	16056.g4298, 16057.g17538, 16055.g20969, 3110.g17538, 3108.g20969, 3113.g9759, 3109.g4298, 3112.g20272, 3111.g14686, 7184.g20969, 7186.g17538, 16058.g14686, 16059.g20272, 16060.g9759, 7187.g14686, 7188.g20272, 7185.g4298, 7189.g9759	g17538, g9759, g20969, g4298, g14686, g20272	g20272, g14686, g20969, g9759, g17538	g14686, g9759, g4298, g20969, g20272, g17538	g1110	g1110	g20969, g14686, g17538, g4298, g9759	g14686, g9759, g20969, g17538, g4298	g14686, g4298, g9759, g17538, g20969	g9759, g4298, g17538, g20969, g20272, g14686	g14686, g20969, g4298, g20272, g17538, g9759	g1110	g1110	g1110
OG0000008	g10784, g21416, g12702, g10788, g18775, g18778, g18779, g10786, g10787, g21688	g10784, g10787, g21688, g9310, g18775, g18779, g21416, g12702	g10786, g12702, g21688, g10784		mf_9969, mf_5061, mf_6595, mf_877, mf_13004, mf_7324, mf_11140, mf_7573, mf_6072, mf_11387, mf_1978, mf_9406, mf_14893					g11848, g11850, g11670, g11669, g15132, g15131, g15129, g4380, g15128	g15131, g15132, g15128, g15129, g11850, g11848, g4380, g11670, g11669						g4380, g15128, g11850, g11848, g15129, g15131, g11669, g11670, g15132	g11848, g4380, g11850, g15132, g15129, g15131, g11669, g11670, g15128	g11848, g11850, g15131, g15128, g15129, g11669, g11670, g4380, g15132
OG0000009	g1008, g2926, g599, g15333, g6203	g15333, g599, g1008, g6203, g2926	g599, g6203, g2926, g15333, g1008		mf_10498, mf_13314, mf_6186, mf_3105, mf_3393	1991.g21629, 373.g21629	g9185, g21629, g3418	g9185, g21629, g3418	g9185, g3418, g21629	g7542, g15885, g15486, g6568, g6281	g6568, g6281, g15885, g7542, g17793, g15486	g9185, g21629, g3418	g9185, g21629, g3418	g21629, g9185, g3418	g3418, g21629, g9185	g3418, g9185, g21629	g15885, g7542, g6568, g6281, g15486	g17793, g15885, g6568, g15486, g6281, g7542, g21894	g6281, g17793, g15885, g15486, g7542, g6568
