	MareHarA_ref.aa.fasta	MareL28.aa.fasta	MareL32.aa.fasta	MentL30_ref.aa.fasta	MfloJB5_ref.aa.fasta	MfloSJF1_ref.aa.fasta	Minc557R.aa.fasta	MincA14.aa.fasta	MincHarC.aa.fasta	MincL15.aa.fasta	MincL17.aa.fasta	MincL19.aa.fasta	MincL27.aa.fasta	MincL9.aa.fasta	MincVW6.aa.fasta	MincW1_ref.aa.fasta	MjavL57.aa.fasta	MjavVW4_ref.aa.fasta	MjavVW5.aa.fasta
OG0000000	g19831, g17786, g18434, g15537	g15537, g19831, g18434	g19831, g15537, g18434	g7709, g30406, g11448, g25646, g15475, g30511	mf_10186, mf_2389, mf_14836, mf_5524, mf_10192, mf_1143, mf_12286, mf_15033, mf_11373, mf_4441, mf_1815, mf_14049, mf_14938, mf_11295, mf_6963, mf_1678, mf_14843, mf_9603, mf_2380, mf_7719, mf_11419, mf_9671, mf_995, mf_5254, mf_381, mf_14460, mf_11239, mf_11284, mf_4804, mf_10798, mf_11096, mf_3882, mf_762, mf_13335, mf_3092, mf_35, mf_15030, mf_11959, mf_1793, mf_7814, mf_14747, mf_12422, mf_9141, mf_9002, mf_4114, mf_5546, mf_4120, mf_12903, mf_5937, mf_13039, mf_1377, mf_775, mf_8750, mf_2410, mf_4233, mf_1184, mf_7408, mf_2666, mf_13566, mf_11113, mf_1944, mf_9760, mf_8670, mf_12461, mf_6057, mf_3991, mf_9582, mf_14086, mf_8565, mf_3017, mf_8094, mf_13156, mf_5411, mf_11416, mf_11624, mf_11089, mf_11395, mf_6401, mf_613, mf_13451, mf_3135, mf_11288, mf_5814, mf_2007, mf_3740, mf_13425, mf_11313, mf_14065, mf_3546, mf_8034, mf_9964, mf_1478, mf_10140, mf_272, mf_14458, mf_100, mf_8348, mf_8402, mf_1647, mf_3238, mf_1641, mf_2864, mf_12412, mf_6601, mf_3660, mf_2763, mf_10584, mf_13707, mf_9200, mf_12332, mf_14905, mf_305, mf_1538, mf_6469, mf_6951, mf_11748, mf_6466, mf_4674, mf_4888, mf_6206, mf_5596, mf_7587, mf_10778, mf_14334, mf_11877, mf_14432, mf_12879, mf_9783, mf_12790	10318.g19004	g19004	g19004	g19004			g19004	g19004	g19004	g19004	g19004			
OG0000001					mf_541, mf_8814, mf_11701, mf_4028, mf_1147, mf_4357, mf_649, mf_10374, mf_12560, mf_10396, mf_2080, mf_7337, mf_10085, mf_7109, mf_14708, mf_10316, mf_14790, mf_8390, mf_6177, mf_13141, mf_9903, mf_6329, mf_2074, mf_5697, mf_5655, mf_4051, mf_8815, mf_3723, mf_12819, mf_10989, mf_2001, mf_5010, mf_13311, mf_5786, mf_7347, mf_4892, mf_2531, mf_6768, mf_10176, mf_3108, mf_11593, mf_9378, mf_9296, mf_12498, mf_13443, mf_6887, mf_7601, mf_4598, mf_5752, mf_5125, mf_9889, mf_2796, mf_1374, mf_14268, mf_3636, mf_6394, mf_8517, mf_4607, mf_665, mf_8366, mf_10040, mf_13636, mf_12113, mf_1341, mf_14994, mf_10844, mf_11547, mf_13164, mf_682, mf_13763, mf_3050, mf_7892, mf_7011, mf_13942, mf_4680, mf_9245, mf_3829, mf_674, mf_11860, mf_999, mf_10052, mf_9661, mf_11608, mf_2954, mf_11465, mf_5287, mf_7232, mf_13388, mf_11752, mf_2314, mf_11351, mf_12663, mf_582, mf_14604, mf_14220, mf_12120, mf_1203, mf_5273, mf_5424, mf_2333, mf_14096, mf_4897, mf_11821, mf_6142, mf_11179, mf_4890, mf_3984, mf_10835, mf_9061, mf_14715, mf_8635, mf_4151, mf_12204, mf_212, mf_92, mf_7923, mf_2195, mf_14390, mf_1206, mf_12723, mf_13270, mf_8029, mf_4404, mf_942, mf_4797, mf_8430, mf_13688, mf_6521, mf_4927, mf_6690, mf_6693, mf_2551, mf_13794, mf_10603, mf_6319, mf_5812, mf_9627, mf_9049, mf_6149, mf_10369, mf_1119, mf_5267, mf_1070														
OG0000002	g8153, g5689, g19508, g17983, g13940, g11936, g10255, g23845, g11695, g15422, g26878	g17983, g8153, g26878, g15422, g11936, g13940	g26878, g11936, g8153	g27850	mf_6459	8840.g11200, 7464.g18765, 7463.g14235, 12024.g18765, 7465.g11200, 5923.g10840, 16070.g18765, 5926.g11200, 5924.g18765, 5925.g14235, 14360.g11200, 7462.g24370, 7461.g10840	g11200, g14235, g10840, g24370	g18765, g10840, g14235, g11200	g14235, g10840, g24370, g11200, g18765	g1736, g4565, g18272, g10678, g11044, g15401, g7970	g15401, g11044, g18272, g17541, g10678, g1736, g7970, g4565	g14235, g11200, g18765, g24370, g10840	g10840, g14235, g24370	g24370, g18765, g10840, g14235, g11200	g14235, g24370, g11200, g18765, g10840	g11200, g18765, g24370, g14235, g10840	g4565, g7970, g15401, g1736, g11044, g18272, g10678	g22356, g17541, g1736, g14361, g15401, g4565, g18272, g10678, g11044, g7970	g4565, g7970, g18272, g14361, g15401, g1736, g11044, g10678
OG0000003	g4927, g6530, g1847, g7995	g6530, g1847, g7995	g6530, g7995, g4927	g30697	mf_3072, mf_3052, mf_5887, mf_13933, mf_5244, mf_7868, mf_3545, mf_9896, mf_13273, mf_912, mf_5032	10085.g8575, 15156.g7419, 15155.g1308, 12200.g8575	g1309, g18618, g7419, g1308, g8575	g1309, g1308, g18618, g8575, g7419	g7419, g18618, g8575, g1309, g1308	g945, g9235, g17378, g2811	g2811, g9235, g17378, g945	g18618, g7419, g1308, g1309, g8575	g18618, g8575, g7419, g1308, g1309	g18618, g7419, g8575, g1308, g1309	g1309, g18618, g8575, g1308, g7419	g1309, g8575, g1308, g18618, g7419	g2811, g17378, g9235, g945	g20873, g9235, g945, g15293, g21279, g2811, g17378	g945, g2811, g17378, g9235
OG0000004	g15768, g27130, g8861, g23285, g1183, g12519, g12518, g6160	g27130, g23285, g6160	g5626, g27130, g12519, g6160	g18222, g24926, g699, g18360	mf_8984, mf_1789, mf_6592	1409.g820, 7103.g13869, 2316.g14201, 7098.g13820, 503.g13869, 2318.g820, 2315.g17564, 7101.g820, 7100.g819, 7099.g17564, 2320.g13869, 2317.g819, 2314.g13820, 14498.g13820	g13820, g17564, g819, g820	g819, g820, g17564, g13820	g17564, g819, g820, g13820	g17971	g17971	g820, g819, g17564, g13820	g17564, g819, g820, g13820	g819, g820, g17564, g13820	g13820, g17564, g820, g819	g17564, g820, g13820, g819	g17971	g17971, g20351, g22589	g17971
OG0000005	g24435, g22226, g19931, g22199	g24435, g22226, g22199, g19931	g24435, g22199, g19931, g22226		mf_5505, mf_2861, mf_9590, mf_10445	16056.g4298, 16057.g17538, 16055.g20969, 3108.g20969, 3110.g17538, 3109.g4298, 3112.g20272, 3111.g14686, 3113.g9759, 7184.g20969, 7186.g17538, 16058.g14686, 16059.g20272, 16060.g9759, 7187.g14686, 7188.g20272, 7185.g4298, 7189.g9759	g17538, g4298, g9759, g14686, g20272	g20272, g14686, g9759, g17538	g14686, g9759, g4298, g20272, g17538	g1110	g1110	g14686, g17538, g4298, g9759	g14686, g9759, g17538, g4298	g14686, g4298, g9759, g17538	g9759, g4298, g17538, g20272, g14686	g14686, g4298, g20272, g17538, g9759	g1110	g1110	g1110
OG0000006	g2926, g599, g1008, g15333, g6203	g15333, g599, g2926, g1008, g6203	g599, g6203, g2926, g15333, g1008			1991.g21629, 373.g21629	g9185, g21629, g3418	g9185, g21629, g3418	g9185, g3418, g21629	g7542, g15885, g15486, g6568, g6281	g6568, g6281, g15885, g7542, g17793, g15486	g9185, g21629, g3418	g9185, g21629, g3418	g21629, g9185, g3418	g3418, g21629, g9185	g3418, g9185, g21629	g15885, g7542, g6568, g6281, g15486	g17793, g15885, g6568, g15486, g6281, g7542, g21894	g6281, g17793, g15885, g15486, g7542, g6568
OG0000007	g12252, g14481, g14463, g14482, g614, g23094	g614, g10494, g23094, g12252, g14481, g14463	g12252, g23094, g614, g14481, g14463	g11975, g16753, g11981, g11980, g11979, g18704	mf_2193					g13732, g5944, g13733, g15550, g5947, g5738, g5946, g14280	g5946, g13732, g13733, g5944, g14280, g5947, g5738, g15550						g14280, g5946, g15550, g5738, g13733, g13732, g5944, g5947	g5946, g5947, g5944, g13732, g5738, g15550, g14280, g13733	g15550, g14280, g5946, g5738, g13733, g13732, g5947, g5944
OG0000008	g28663	g28663	g28663	g1492, g30153, g599, g21519, g12424	mf_8121	9750.g6365, 13916.g16757	g597, g22904, g16757, g6365	g597, g16757, g22904, g6365	g22904, g6365, g16757, g597	g16431, g3657, g14194, g10882	g10882, g3657, g16431, g14194	g597, g22904, g16757, g6365	g22904, g6365, g16757, g597	g6365, g16757, g22904, g597	g597, g22904, g16757, g6365	g22904, g6365, g16757, g597	g10882, g3657, g16431, g14194	g16431, g3657, g14194, g10882	g14194, g10882, g3657, g16431
OG0000009	g13271, g13274, g12512, g15108, g7461	g7461, g12512, g15108, g13271, g13274	g7461, g13271, g15108, g12512	g21779	mf_3040	8266.g22932, 8267.g13147, 8268.g5934	g13147, g5934, g22932	g22932, g13147, g5934	g13147, g22932, g5934	g12318, g9088, g1627, g2088	g2088, g12318, g1627, g9088	g5934, g22932, g13147	g5934, g13147	g5934, g13147, g22932	g13147, g5934, g22932	g5934, g13147, g22932	g2088, g12318, g1627, g9088	g12318, g1627, g9088, g2088	g12318, g9088, g2088, g1627
