	MareHarA_ref.aa.fasta	MareL28.aa.fasta	MareL32.aa.fasta	MentL30_ref.aa.fasta	MfloJB5_ref.aa.fasta	MfloSJF1_ref.aa.fasta	Minc557R.aa.fasta	MincA14.aa.fasta	MincHarC.aa.fasta	MincL15.aa.fasta	MincL17.aa.fasta	MincL19.aa.fasta	MincL27.aa.fasta	MincL9.aa.fasta	MincVW6.aa.fasta	MincW1_ref.aa.fasta	MjavL57.aa.fasta	MjavVW4_ref.aa.fasta	MjavVW5.aa.fasta
OG0000000	g1969, g3458, g27924, g7169, g2394, g25197, g7155	g2394, g7155, g3458, g25197, g27924, g1969	g25197, g2394, g1969, g3458	g10973, g11324, g30782	mf_9319, mf_8663, mf_13277, mf_11980, mf_12003, mf_11367, mf_5097, mf_1721, mf_9459, mf_10328	6537.g11341, 6538.g21621, 6531.g7996, 6532.g5110, 6535.g6868, 6536.g18436, 6533.g6268, 6534.g6445, 13058.g6445, 4325.g13301, 13193.g6268, 13194.g6445, 13195.g5110, 13196.g14985, 13197.g11341, 13198.g8912, 6540.g8912, 8855.g5110, 4424.g5110, 4425.g14985, 14691.g6445, 14692.g18436, 14690.g6268, 4426.g6445, 4427.g18436, 16732.g13301, 16726.g6268, 16727.g16835, 16724.g18436, 16725.g2580, 16730.g11341, 16731.g21621, 16728.g6868, 16729.g19514, 15385.g6268, 6196.g21621, 7382.g8912, 7380.g21621, 7381.g13301, 14694.g2580, 13965.g6803, 15352.g13301, 15350.g5110, 1361.g6868, 1365.g14985, 1364.g5110, 1360.g21621, 1367.g16835, 1366.g6268, 14696.g19514, 1374.g13301, 1375.g8912, 3496.g13301, 3495.g5110, 7772.g2580, 946.g6268, 945.g5110, 6539.g13301, 14700.g8912, 14699.g13301, 14698.g21621, 14697.g11341, 14695.g6868, 14693.g14985, 16723.g6445, 16722.g14985, 16721.g5110, 15031.g21621, 1378.g21619, 7376.g18436, 7375.g6445, 7374.g16835, 7372.g14985, 7379.g11341, 7378.g19514, 16733.g8912, 1372.g11341, 1373.g21621, 1370.g6868, 1371.g19514, 1368.g6445, 1369.g18436, 1376.g13300, 1377.g21620, 15351.g21621, 7377.g6868, 7373.g6268	g18436, g6268, g7130, g11341, g623, g8912, g21621, g21619, g21620, g16835, g13300, g13301, g7996, g5110, g6445, g2580, g19514, g6868, g23447, g1966, g6803	g19514, g1966, g6868, g11341, g623, g2580, g21620, g21621, g13300, g6268, g7130, g21619, g18436, g6803, g7996, g6445, g16835, g5110, g13301, g23447, g8912	g21619, g23447, g8912, g5110, g623, g21620, g21621, g1966, g6268, g16835, g18436, g7130, g7996, g19514, g6445, g11341, g2580, g6803, g13301, g6868, g13300	g16703	g16703	g7130, g8912, g6268, g6868, g11341, g18436, g6445, g7996, g1966, g21621, g21620, g21619, g23447, g623, g5110, g16835, g2580, g13300, g13301, g6803, g19514	g23447, g5110, g1966, g6268, g7996, g21619, g21620, g21621, g6445, g6868, g19514, g11341, g7130, g6803, g8912, g18436, g16835, g2580, g13301, g13300, g623	g6803, g1966, g7996, g623, g21620, g21621, g19514, g6268, g5110, g6445, g13301, g13300, g11341, g18436, g6868, g21619, g23447, g16835, g7130, g8912, g2580	g13301, g13300, g6445, g1966, g18436, g21620, g21621, g8912, g16835, g21619, g6868, g7130, g623, g5110, g6268, g19514, g7996, g2580, g11341, g23447, g6803	g2580, g6268, g1966, g19514, g23447, g7996, g6445, g21621, g21619, g21620, g6803, g623, g5110, g8912, g16835, g6868, g7130, g18436, g13301, g13300, g11341	g16703	g22106, g16703	g16703
OG0000001	g19831, g17786, g18434, g15537	g15537, g17786, g18434, g19831	g19831, g15537, g18434, g17786	g8434, g7709, g30406, g11448, g25646, g15475, g30511, g19818	mf_10186, mf_2389, mf_14836, mf_14534, mf_5524, mf_10192, mf_1143, mf_12286, mf_14666, mf_14334, mf_15033, mf_14100, mf_4441, mf_1815, mf_14049, mf_14938, mf_11295, mf_7719, mf_554, mf_14843, mf_12332, mf_4674, mf_9603, mf_2380, mf_9592, mf_11419, mf_11, mf_9671, mf_8920, mf_995, mf_1330, mf_5254, mf_381, mf_14460, mf_11239, mf_11284, mf_4804, mf_10798, mf_11096, mf_9964, mf_3882, mf_762, mf_12218, mf_3092, mf_35, mf_15030, mf_11959, mf_1793, mf_7814, mf_14747, mf_12422, mf_9141, mf_9002, mf_4114, mf_5546, mf_4120, mf_12903, mf_5937, mf_13039, mf_1377, mf_775, mf_8750, mf_2410, mf_12266, mf_1184, mf_7408, mf_2666, mf_11373, mf_11113, mf_1944, mf_9760, mf_3839, mf_8670, mf_12461, mf_6057, mf_3991, mf_11365, mf_9582, mf_14086, mf_8565, mf_3017, mf_8094, mf_13156, mf_5411, mf_11416, mf_11624, mf_11089, mf_11395, mf_10778, mf_613, mf_13451, mf_3135, mf_11288, mf_5814, mf_2007, mf_3740, mf_13425, mf_4233, mf_1678, mf_14065, mf_3546, mf_8034, mf_6206, mf_1478, mf_10140, mf_272, mf_14458, mf_100, mf_8348, mf_8402, mf_1647, mf_3238, mf_1641, mf_2864, mf_12412, mf_3660, mf_2763, mf_10584, mf_13707, mf_10944, mf_6963, mf_13566, mf_3432, mf_14905, mf_13504, mf_305, mf_1538, mf_11313, mf_6469, mf_6951, mf_11748, mf_6466, mf_13335, mf_4888, mf_6601, mf_5596, mf_12790, mf_6401, mf_6227, mf_11877, mf_14432, mf_12879, mf_9783, mf_9200, mf_7548, mf_7587, mf_13570	10318.g19004	g19004	g19004	g19004	g4169	g4169	g19004	g19004	g19004	g19004	g19004	g4169	g4169	g4169
OG0000002	g25269	g25269	g25269		mf_7161, mf_2543, mf_541, mf_6768, mf_11701, mf_1093, mf_1147, mf_4357, mf_649, mf_10374, mf_12560, mf_10396, mf_2080, mf_7337, mf_10085, mf_13429, mf_7109, mf_14708, mf_9477, mf_14790, mf_8390, mf_13257, mf_6177, mf_1203, mf_9903, mf_3723, mf_2074, mf_5697, mf_1158, mf_4028, mf_5655, mf_4051, mf_8815, mf_12819, mf_10989, mf_11622, mf_2001, mf_5010, mf_13311, mf_5786, mf_191, mf_8508, mf_7347, mf_2333, mf_1070, mf_8814, mf_316, mf_10176, mf_3108, mf_11593, mf_9378, mf_9296, mf_12498, mf_13443, mf_6887, mf_7601, mf_4598, mf_5752, mf_5125, mf_9889, mf_2796, mf_11547, mf_7387, mf_3636, mf_6394, mf_8517, mf_9900, mf_4607, mf_665, mf_8366, mf_10040, mf_13636, mf_12113, mf_1341, mf_14994, mf_10844, mf_1374, mf_13164, mf_682, mf_1094, mf_13763, mf_3050, mf_7892, mf_7011, mf_13942, mf_4680, mf_9245, mf_3829, mf_10369, mf_674, mf_11860, mf_999, mf_7787, mf_10052, mf_9661, mf_11608, mf_2954, mf_11465, mf_5287, mf_13149, mf_7232, mf_10316, mf_11752, mf_2314, mf_11351, mf_12663, mf_582, mf_14604, mf_13424, mf_14220, mf_12120, mf_13141, mf_5273, mf_5424, mf_8581, mf_1712, mf_4892, mf_14096, mf_4897, mf_4890, mf_6329, mf_6142, mf_11179, mf_3984, mf_10835, mf_9061, mf_14715, mf_8635, mf_4151, mf_12204, mf_212, mf_92, mf_7923, mf_2195, mf_14423, mf_13388, mf_14390, mf_9426, mf_12723, mf_13270, mf_8029, mf_4404, mf_11821, mf_942, mf_4797, mf_8705, mf_8430, mf_13688, mf_6521, mf_4927, mf_1206, mf_6690, mf_6693, mf_2551, mf_13794, mf_10603, mf_6319, mf_5812, mf_14268, mf_9627, mf_9049, mf_6149, mf_1119, mf_795, mf_5267, mf_2531	3872.g15968	g15968	g15968	g15968			g15968	g15968	g15968	g15968	g15968			
OG0000003	g24687, g9765, g98, g11254, g10971	g11254, g10971, g24687, g98, g22099, g9461, g9765	g24687, g9765, g98, g11254, g9461, g10971	g19093, g14839, g2096, g12403, g11443, g11444, g19517, g1280, g13081, g18199, g18727	mf_4537, mf_8396, mf_14923, mf_457, mf_1333, mf_14239, mf_7876, mf_12962, mf_12363, mf_11882, mf_8030, mf_13532, mf_6295, mf_14029, mf_11728	15845.g14803, 15474.g4024, 14299.g14803, 15473.g15963, 3769.g14049, 15379.g13482, 15380.g14803, 15471.g17263, 15469.g1835, 15468.g14803, 15465.g13482	g13482, g16241, g17263, g9125, g14803, g14049, g15963, g4024, g19085, g10119, g1835	g17263, g15963, g16241, g19085, g10119, g9125, g13482, g14049, g14803, g4024, g1835	g9125, g15963, g4024, g14049, g14803, g16241, g10119, g17263, g19085, g13482	g12373, g827, g16446	g5887, g16446, g12373	g14049, g15963, g10119, g16241, g13482, g19085, g4024, g17263, g14803, g9125	g4024, g13482, g17263, g10119, g14049, g16241, g14803, g9125, g19085, g15963	g4024, g9125, g10119, g14803, g17263, g13482, g16241, g14049, g15963, g19085	g1835, g15963, g16241, g4024, g17263, g14803, g9125, g14049, g10119, g19085, g13482	g15963, g14049, g4024, g14803, g13482, g19085, g10119, g1835, g17263, g9125, g16241	g827, g5887, g16446, g12373	g5887, g827, g16446, g12373	g12373, g5887, g16446, g827
OG0000004	g23253, g14618, g25087, g29198, g14431, g7969, g1376, g7968, g5894, g22083, g1265, g13327, g13324, g14863	g5894, g1376, g1265, g29198, g13324, g13327, g14618, g16610, g14431, g7969, g7968, g22083, g25087, g14863	g1376, g14618, g14863, g1265, g29198, g25087, g23253, g22083, g22575, g5894, g14431, g7968, g7969	g4411	mf_4943, mf_6851, mf_9480, mf_1295, mf_1522, mf_13354, mf_14953	15821.g14331, 15824.g12045, 15823.g2781, 1274.g12045, 1271.g14331, 1272.g2583, 7354.g2583, 1270.g7002, 10223.g7002, 9931.g12045, 11370.g7002, 15822.g2583, 15137.g19678, 8750.g3114, 1273.g2781, 12545.g21944, 12544.g7002, 1724.g7002, 6037.g7002	g2781, g19678, g5102, g2583, g12045, g3114, g11179, g14331	g3114, g19678, g2583, g14331, g2781, g12045, g5102	g11179, g5102, g3114, g12045, g14331, g2583, g19678, g2781	g8249, g14418, g19307, g14946	g19307, g14946, g8249, g14418	g3114, g2583, g11179, g12045, g19678, g14331, g5102, g2781	g12045, g5102, g3114, g11179, g19678, g2781, g14331, g2583	g11179, g14331, g12045, g2583, g5102, g19678, g3114, g2781	g12045, g3114, g5102, g19678, g11179, g2583, g14331, g2781	g19678, g3114, g14331, g12045, g2583, g2781, g5102	g8249, g14946, g14418, g19307	g23946, g19307, g14418, g14946, g21594, g8249	g8249, g19307, g14418, g14946
OG0000005	g21416, g21415, g18779, g10787, g21687, g10788, g18775, g18778, g18777, g10784, g10785, g10786, g9307, g12702, g9310, g247, g248, g21688, g21689	g12702, g248, g21689, g21688, g21687, g21415, g10787, g10784, g10785, g21416, g247, g9310, g9307, g18775, g18778, g18777, g18779	g12702, g247, g21688, g18779, g9307, g21416, g10786, g10784, g10785, g248, g21689, g21687		mf_11140, mf_13004, mf_877, mf_7324, mf_6072, mf_5196, mf_9969, mf_14893, mf_5061, mf_6595, mf_7573, mf_12578, mf_1978, mf_9406, mf_11387	16407.g11959				g11848, g11849, g11850, g11671, g11670, g12413, g12414, g15132, g15130, g15131, g15129, g4381, g4379, g15128, g4380, g11669, g8245	g15131, g15132, g12414, g12413, g4380, g4379, g4381, g11671, g11670, g8245, g15128, g15129, g15130, g11669, g11850, g11848, g11849						g4380, g4381, g4379, g11671, g11670, g11669, g15128, g11850, g11848, g11849, g12414, g12413, g15129, g15130, g15131, g8245, g15132	g11850, g15132, g15128, g15129, g15130, g15131, g12413, g12414, g11848, g11849, g4381, g4380, g4379, g11669, g11670, g11671, g8245	g11848, g11850, g11669, g11670, g11849, g12414, g12413, g15130, g15131, g15128, g15129, g15132, g4379, g4380, g11671, g8245, g4381
OG0000006	g26898, g29123	g29123	g29123	g29229, g18986, g26631	mf_14190, mf_10335, mf_3886, mf_7797, mf_445, mf_2699, mf_3220	16587.g11372, 10877.g11372, 14095.g5418, 8264.g2534, 8263.g14436, 14086.g11372, 14092.g2534, 14091.g14436, 14094.g13862, 14093.g5414, 10882.g11369, 10886.g13862, 10885.g5414, 10879.g10899, 10878.g3024, 10881.g2534, 10887.g5418, 10669.g11372, 3783.g11372, 10883.g9411, 10880.g14436, 10673.g11369, 10672.g5414, 10671.g2534, 10670.g14436, 10675.g13862, 4860.g3024, 3861.g11369, 10676.g5418, 15997.g2534, 15996.g14436	g9411, g5418, g5414, g14436, g2534, g13862, g11369, g11372, g3024	g3024, g13862, g14436, g11372, g11369, g2534, g9411, g5414, g5418	g9411, g5414, g5418, g3024, g11369, g14436, g11372, g2534, g13862	g344, g9230	g9230, g15334, g344	g13862, g11372, g2534, g5418, g5414, g11369, g3024, g14436, g9411	g14436, g5418, g5414, g2534, g3024, g11372, g11369, g9411, g13862	g3024, g2534, g11369, g5414, g9411, g5418, g13862, g14436, g11372	g5418, g11369, g5414, g2534, g9411, g13862, g14436, g11372, g3024	g14436, g11369, g2534, g5414, g5418, g3024, g9411, g13862, g11372	g15334, g344, g9230	g9230, g15334, g344	g344, g9230
OG0000007	g2158, g4633, g5451, g2156, g3987, g3985, g3986	g4633, g2158, g3985, g5451, g3987, g3986	g2156, g2158, g3986, g4633, g3987, g3985, g5451	g7879	mf_14324, mf_7703, mf_10731, mf_12740, mf_15025, mf_13822, mf_3334, mf_2528	2670.g14773, 2669.g2935, 2668.g14769, 2667.g14772, 12427.g3397, 8474.g14771, 15765.g2934, 2665.g14770, 2666.g13111, 2663.g3397, 2664.g3397, 15381.g2936	g14771, g14772, g14769, g14768, g3397, g14776, g14773, g2935, g2936, g2934, g14770	g14769, g14768, g14771, g3397, g14776, g2934, g2935, g14770, g14773, g14772, g2936	g2934, g14773, g14770, g14776, g2935, g2936, g3397, g14769, g14768, g14772, g14771			g3397, g14776, g14770, g14772, g14769, g14768, g2934, g2935, g2936, g14773, g14771	g2935, g14772, g3397, g2936, g2934, g14769, g14773, g14770, g14771, g14776, g14768	g14776, g14773, g14772, g2936, g2934, g2935, g3397, g14770, g14771, g14768, g14769	g2935, g2934, g2936, g14768, g14769, g3397, g14771, g14772, g14770, g14776, g14773	g14773, g3397, g14771, g14772, g14770, g2936, g2935, g14776, g14768, g14769, g2934			
OG0000008	g8153, g5689, g19508, g17983, g13940, g11936, g20024, g23845, g10255, g11695, g15422, g26878	g17983, g8153, g19508, g26878, g15422, g13940, g11695, g11936	g19508, g17983, g13940, g15422, g23845, g11936, g5689, g26878, g8153	g27850	mf_6459, mf_5370	8840.g11200, 7464.g18765, 7463.g14235, 12024.g18765, 7465.g11200, 5923.g10840, 16070.g18765, 7462.g24370, 5926.g11200, 5924.g18765, 5925.g14235, 14360.g11200, 7461.g10840	g10840, g11200, g18765, g14235, g24370	g18765, g10840, g14235, g11200	g10840, g11200, g24370, g18765, g14235	g1736, g4565, g18272, g17541, g10678, g11044, g15401, g7970	g15401, g11044, g18272, g17541, g10678, g1736, g7970, g4565	g14235, g11200, g18765, g10840, g24370	g10840, g14235, g24370	g24370, g18765, g10840, g14235, g11200	g14235, g18765, g10840, g24370, g11200	g11200, g18765, g24370, g14235, g10840	g4565, g7970, g17541, g15401, g1736, g11044, g18272, g10678	g22356, g1736, g15401, g14361, g4565, g18272, g17541, g10678, g11044, g7970	g10678, g4565, g7970, g15401, g18272, g14361, g1736, g11044
OG0000009	g13685, g14565, g3718, g18575, g20908, g15145, g1028	g15145, g14565, g20908, g3718, g1028, g13685, g18575	g3718, g15145, g20908, g14565, g13685, g1028, g18575	g30237, g9596, g13057, g4432, g16617, g30110, g4312, g14752	mf_2140, mf_14102, mf_4620, mf_8133	16651.g13325, 7422.g7150	g5091, g19262, g24581, g7150, g4047, g13325, g8170, g13654	g4047, g7150, g13654, g19262, g8170, g5091, g24581, g13325	g8170, g13325, g24581, g4047, g7150, g13654, g5091	g18136, g1127, g1791, g5122, g6083	g18136, g6083, g5122, g1127	g7150, g13654, g24581, g19262, g8170, g4047, g5091, g13325	g24581, g19262, g13325, g7150, g5091, g4047, g13654	g13325, g19262, g8170, g24581, g7150, g13654, g4047, g5091	g7150, g8170, g4047, g5091, g24581, g13654, g13325	g24581, g4047, g7150, g5091, g13325, g13654, g8170, g19262	g1127, g5122, g18136, g6083, g1791	g6083, g1791, g18136, g5122, g23644, g20430, g1127, g21558	g1127, g1791, g18136, g6083, g5122
