	MareHarA_ref.aa.fasta	MareL28.aa.fasta	MareL32.aa.fasta	MentL30_ref.aa.fasta	MfloJB5_ref.aa.fasta	MfloSJF1_ref.aa.fasta	Minc557R.aa.fasta	MincA14.aa.fasta	MincHarC.aa.fasta	MincL15.aa.fasta	MincL17.aa.fasta	MincL19.aa.fasta	MincL27.aa.fasta	MincL9.aa.fasta	MincVW6.aa.fasta	MincW1_ref.aa.fasta	MjavL57.aa.fasta	MjavVW4_ref.aa.fasta	MjavVW5.aa.fasta
OG0000000	g19831, g17786, g18434, g15537	g15537, g19831, g18434	g19831, g15537, g18434	g7709, g25646, g15475, g30511	mf_10186, mf_2389, mf_14836, mf_5524, mf_10192, mf_1143, mf_12286, mf_15033, mf_11373, mf_4441, mf_1815, mf_14049, mf_14938, mf_11295, mf_7719, mf_554, mf_12332, mf_9603, mf_2380, mf_9671, mf_6963, mf_11419, mf_11, mf_995, mf_5254, mf_381, mf_6206, mf_14460, mf_11239, mf_11284, mf_4804, mf_10798, mf_11096, mf_3882, mf_762, mf_13335, mf_3092, mf_1478, mf_15030, mf_6469, mf_1793, mf_7814, mf_14747, mf_12422, mf_9141, mf_9002, mf_4114, mf_5546, mf_4120, mf_12903, mf_5937, mf_13039, mf_1377, mf_775, mf_8750, mf_2410, mf_4233, mf_1184, mf_7408, mf_2666, mf_13566, mf_11113, mf_1944, mf_9760, mf_3839, mf_8670, mf_12461, mf_6057, mf_3991, mf_8348, mf_14086, mf_8565, mf_3017, mf_8094, mf_13156, mf_5411, mf_11416, mf_11624, mf_11089, mf_11395, mf_613, mf_13451, mf_3135, mf_11288, mf_5814, mf_2007, mf_3740, mf_6227, mf_13425, mf_11313, mf_14065, mf_3546, mf_8034, mf_9964, mf_35, mf_10140, mf_272, mf_14458, mf_100, mf_9582, mf_8402, mf_1647, mf_3238, mf_1641, mf_2864, mf_12412, mf_14843, mf_3660, mf_2763, mf_10584, mf_13707, mf_9200, mf_1678, mf_14905, mf_13504, mf_9783, mf_1538, mf_11959, mf_6951, mf_11748, mf_6466, mf_4674, mf_4888, mf_6601, mf_5596, mf_6401, mf_14334, mf_11877, mf_14432, mf_12879, mf_305, mf_7548, mf_12790, mf_13570	g533	g19004	g19004	g19004	g4169	g4169	g19004	g19004	g19004	g19004	g19004	g4169	g4169	g4169
OG0000001					mf_2543, mf_541, mf_6768, mf_11701, mf_4028, mf_1147, mf_4357, mf_649, mf_10374, mf_12560, mf_10396, mf_2080, mf_7337, mf_10085, mf_13429, mf_7109, mf_14708, mf_10316, mf_14790, mf_8390, mf_6177, mf_13141, mf_4797, mf_6329, mf_2074, mf_5697, mf_5655, mf_4051, mf_8815, mf_3723, mf_12819, mf_10989, mf_2001, mf_5010, mf_13311, mf_5786, mf_191, mf_8508, mf_7347, mf_2333, mf_2531, mf_8814, mf_10176, mf_3108, mf_11593, mf_9378, mf_9296, mf_12498, mf_13443, mf_6887, mf_7601, mf_4598, mf_5752, mf_5125, mf_9889, mf_2796, mf_1374, mf_1094, mf_3636, mf_6394, mf_8517, mf_4607, mf_665, mf_8366, mf_10040, mf_13636, mf_12113, mf_1341, mf_14994, mf_10844, mf_11547, mf_674, mf_682, mf_14268, mf_13763, mf_3050, mf_7892, mf_7011, mf_13942, mf_4680, mf_9245, mf_3829, mf_13164, mf_11860, mf_999, mf_10052, mf_9661, mf_11608, mf_2954, mf_11465, mf_5287, mf_13149, mf_7232, mf_13388, mf_11752, mf_2314, mf_11351, mf_12663, mf_582, mf_14604, mf_14220, mf_12120, mf_1203, mf_5273, mf_5424, mf_1712, mf_4892, mf_4151, mf_4897, mf_11821, mf_6142, mf_11179, mf_4890, mf_3984, mf_10835, mf_9061, mf_14715, mf_8635, mf_14096, mf_12204, mf_212, mf_92, mf_7923, mf_2195, mf_14423, mf_14390, mf_1206, mf_12723, mf_13270, mf_8029, mf_4404, mf_942, mf_9903, mf_8430, mf_13688, mf_6521, mf_4927, mf_9426, mf_6690, mf_6693, mf_2551, mf_13794, mf_10603, mf_6319, mf_5812, mf_9627, mf_9049, mf_6149, mf_10369, mf_1119, mf_5267, mf_1070														
OG0000002	g1969, g3458, g25197, g27924, g7169, g7155	g7155, g3458, g25197, g27924, g1969	g25197, g1969, g3458	g10973, g11324, g30782	mf_5097, mf_12003, mf_9319, mf_1721, mf_8663, mf_11980, mf_10328, mf_9459	g3058, g201	g18436, g6268, g16835, g5110, g6445, g2580, g19514, g11341, g8912, g6868, g13300, g13301, g6803	g6868, g11341, g6268, g2580, g18436, g6803, g6445, g16835, g19514, g5110, g13301, g8912, g13300	g18436, g8912, g5110, g19514, g6445, g11341, g6268, g2580, g6803, g6868, g13300, g16835, g13301	g16703	g16703	g5110, g8912, g16835, g6868, g2580, g13300, g13301, g18436, g6445, g6268, g6803, g11341, g19514	g19514, g16835, g11341, g5110, g6803, g8912, g18436, g6268, g6868, g13301, g13300, g6445, g2580	g6803, g6445, g6268, g11341, g18436, g6868, g19514, g2580, g16835, g13301, g13300, g8912, g5110	g8912, g13300, g16835, g6868, g6445, g5110, g6268, g19514, g13301, g11341, g18436, g6803, g2580	g5110, g8912, g6445, g16835, g6868, g6268, g19514, g18436, g13300, g13301, g2580, g11341, g6803	g16703	g22106, g16703	g16703
OG0000003	g21416, g21415, g10785, g10787, g10788, g18775, g18778, g10784, g18779, g10786, g12702, g9310, g247, g248, g21687, g21688, g21689	g248, g21689, g21688, g21687, g21415, g21416, g10784, g10787, g10785, g247, g9310, g18775, g18778, g18779, g12702	g12702, g247, g21688, g21416, g10786, g10784, g10785, g248, g21689, g21687		mf_877, mf_7324, mf_6072, mf_5196, mf_13004, mf_14893, mf_9969, mf_5061, mf_6595, mf_11140, mf_7573, mf_12578, mf_11387, mf_1978, mf_9406					g11848, g11850, g11671, g11670, g15132, g15130, g15131, g15129, g4381, g4379, g15128, g4380, g11669, g8245, g12413	g15129, g15131, g15132, g12413, g4380, g4379, g4381, g11671, g11670, g8245, g15128, g15130, g11669, g11850, g11848						g4380, g4381, g4379, g8245, g15129, g15130, g11671, g11670, g11669, g15128, g15131, g11850, g11848, g12413, g15132	g11850, g15132, g15130, g15131, g4379, g12413, g11848, g4381, g4380, g11669, g11670, g11671, g15128, g15129, g8245	g11848, g11850, g11669, g11670, g8245, g12413, g15130, g15131, g15128, g15129, g15132, g4379, g4380, g11671, g4381
OG0000004	g14170, g493, g26783, g15354, g17075, g1050, g28353, g19799	g28353, g26783, g17075, g493, g19799, g14170, g15354, g20663, g1050	g17075, g26783, g14170, g493, g28353, g1050, g15354, g19799	g5784, g5836, g5083, g25509	mf_2311, mf_12708, mf_13024, mf_4496, mf_6611, mf_6047	g8638, g2956	g4274, g3517, g5615, g18721	g4274, g3517, g5615, g18721	g4274, g18721, g3517, g5615	g743, g12792, g1016, g5982, g2547, g17245, g1064, g19494, g13676, g12393, g2491	g2547, g12393, g1016, g743, g1064, g19494, g2491, g5982, g13676, g17245, g12792	g4274, g3517, g18721, g5615	g4274, g5615, g3517, g18721	g4274, g5615, g18721, g3517	g3517, g5615, g18721, g4274	g3517, g18721, g4274, g5615	g12792, g2547, g17245, g2491, g1064, g743, g5982, g1016, g19494, g13676, g12393	g743, g12393, g5982, g2491, g1016, g1064, g19494, g17245, g13676, g12792, g2547	g12792, g17245, g1064, g743, g2547, g2491, g1016, g13676, g12393, g19494, g5982
OG0000005	g8153, g5689, g19508, g17983, g13940, g11936, g20024, g11695, g23845, g15422, g26878, g10255	g17983, g8153, g26878, g15422, g19508, g11936, g13940, g11695	g19508, g17983, g23845, g13940, g15422, g26878, g11936, g5689, g8153	g27850	mf_6459, mf_5370	g2703	g11200, g18765, g14235, g24370, g10840	g18765, g10840, g11200, g14235	g14235, g10840, g11200, g24370, g18765	g1736, g4565, g18272, g10678, g11044, g15401, g7970, g17541	g15401, g11044, g18272, g17541, g10678, g1736, g7970, g4565	g14235, g11200, g18765, g10840, g24370	g10840, g14235, g24370	g24370, g18765, g10840, g14235, g11200	g14235, g18765, g24370, g11200, g10840	g11200, g18765, g24370, g14235, g10840	g14361, g4565, g17541, g7970, g15401, g1736, g11044, g18272, g10678	g22356, g17541, g1736, g15401, g14361, g4565, g18272, g10678, g11044, g7970	g4565, g7970, g18272, g14361, g11044, g15401, g1736, g10678
OG0000006	g7968, g23253, g22083, g25087, g1265, g14618, g14431, g13327, g13324, g7969, g5894, g14863	g13324, g13327, g14618, g5894, g16610, g14431, g1265, g7968, g7969, g22083, g25087, g14863	g25087, g23253, g1376, g14618, g22575, g22083, g5894, g1265, g14431, g7968, g7969, g14863	g4411	mf_9480, mf_4943, mf_1295, mf_1522, mf_13354, mf_6851, mf_14953		g2781, g19678, g12045, g2583, g5102, g11179, g3114, g14331	g3114, g12045, g14331, g5102, g19678, g2583, g2781	g19678, g2781, g11179, g3114, g2583, g12045, g5102, g14331			g3114, g19678, g14331, g2583, g2781, g11179, g5102, g12045	g12045, g5102, g19678, g2781, g3114, g14331, g11179, g2583	g2583, g14331, g5102, g19678, g3114, g2781, g11179, g12045	g3114, g19678, g2781, g2583, g12045, g5102, g14331, g11179	g19678, g3114, g14331, g12045, g2781, g5102, g2583		g23946	
OG0000007	g9765, g24687, g10971, g98	g10971, g24687, g9765, g98, g9461	g9461, g98, g24687, g9765	g11444, g2096, g18727	mf_1333, mf_4537, mf_12363	g11618	g17263, g15963, g4024, g19085, g10119, g1835, g9125, g14049	g9125, g14049, g17263, g19085, g4024, g10119, g1835, g15963	g10119, g15963, g17263, g4024, g19085, g14049	g827, g12373, g5887, g16446	g5887, g16446, g12373	g14049, g15963, g4024, g10119, g17263, g19085	g4024, g15963, g10119, g14049, g19085, g17263	g4024, g14049, g10119, g17263, g15963, g19085	g1835, g9125, g10119, g14049, g4024, g17263, g19085, g15963	g19085, g10119, g1835, g17263, g15963, g9125, g4024, g14049	g827, g12373, g5887, g16446	g827, g12373, g16446, g5887	g12373, g827, g5887, g16446
OG0000008				g8752, g6620	mf_5674, mf_4802, mf_4605		g812, g890, g18537, g4858, g11371, g11677	g812, g11371, g4858, g890, g18537, g11677	g890, g4858, g11677, g18537, g11371, g812	g16022, g15675, g5438, g12106, g16581, g12182, g12804	g12106, g5438, g12804, g12182, g16022, g15675, g16581	g812, g18537, g11371, g4858, g890, g11677	g812, g11677, g4858, g11371, g890, g18537	g812, g11677, g4858, g11371, g18537, g890	g812, g11371, g890, g11677, g18537, g4858	g812, g890, g18537, g4858, g11371, g11677	g16022, g15675, g12182, g12804, g16581, g12106, g5438	g12804, g15675, g16581, g5438, g12106, g16022, g12182	g12804, g12106, g16022, g5438, g16581, g12182, g15675
OG0000009	g20992, g15768, g27130, g8861, g23285, g1183, g12519, g12518, g5626, g6160	g20992, g27130, g1183, g23285, g5626, g6160	g5626, g27130, g1183, g20992, g12519, g6160	g2598, g18222, g24926, g699, g18360	mf_8984, mf_1789, mf_6592	g14006, g8958, g14007	g13820, g17564, g14201, g820, g819	g14201, g819, g820, g17564, g13820	g17564, g819, g820, g14201, g13820	g17970, g17971	g17970, g17971	g820, g819, g17564, g13820, g14201	g14201, g17564, g819, g820, g13820	g819, g14201, g820, g17564, g13820	g14201, g13820, g17564, g820, g819	g14201, g17564, g13820, g820, g819	g17970, g17971	g17970, g20351, g22589, g17971	g17970, g17971
