	MareHarA_ref.aa.fasta	MareL28.aa.fasta	MareL32.aa.fasta	MentL30_ref.aa.fasta	MfloJB5_ref.aa.fasta	MfloSJF1_ref.aa.fasta	Minc557R.aa.fasta	MincA14.aa.fasta	MincHarC.aa.fasta	MincL15.aa.fasta	MincL17.aa.fasta	MincL19.aa.fasta	MincL27.aa.fasta	MincL9.aa.fasta	MincVW6.aa.fasta	MincW1_ref.aa.fasta	MjavL57.aa.fasta	MjavVW4_ref.aa.fasta	MjavVW5.aa.fasta
OG0000000	g19831, g17786, g18434	g18434, g19831	g19831, g18434	g7709, g25646, g15475, g30511	mf_10186, mf_2389, mf_14836, mf_5524, mf_10192, mf_1143, mf_12286, mf_15033, mf_11373, mf_4441, mf_1815, mf_14049, mf_14938, mf_11295, mf_6963, mf_554, mf_9603, mf_2380, mf_7719, mf_11419, mf_11, mf_9671, mf_995, mf_5254, mf_381, mf_14460, mf_11239, mf_11284, mf_4804, mf_10798, mf_11096, mf_3882, mf_762, mf_13335, mf_3092, mf_1478, mf_15030, mf_11959, mf_1793, mf_7814, mf_14747, mf_12422, mf_9141, mf_9002, mf_4114, mf_5546, mf_4120, mf_12903, mf_5937, mf_13039, mf_14843, mf_1377, mf_775, mf_8750, mf_2410, mf_4233, mf_1184, mf_7408, mf_2666, mf_11113, mf_1944, mf_9760, mf_8670, mf_12461, mf_6057, mf_3991, mf_9582, mf_14086, mf_8565, mf_3017, mf_8094, mf_13156, mf_5411, mf_11416, mf_11624, mf_11089, mf_11395, mf_613, mf_13451, mf_3135, mf_11288, mf_5814, mf_2007, mf_3740, mf_13425, mf_11313, mf_1678, mf_14065, mf_3546, mf_8034, mf_9964, mf_35, mf_10140, mf_272, mf_14458, mf_100, mf_8348, mf_8402, mf_1647, mf_3238, mf_1641, mf_2864, mf_12412, mf_6601, mf_3660, mf_2763, mf_10584, mf_13707, mf_9200, mf_13566, mf_12332, mf_14905, mf_13504, mf_305, mf_1538, mf_6469, mf_6951, mf_11748, mf_6466, mf_4674, mf_4888, mf_6206, mf_5596, mf_6401, mf_14334, mf_11877, mf_14432, mf_12879, mf_9783, mf_7548, mf_12790	g533	g19004	g19004	g19004			g19004	g19004	g19004	g19004	g19004			
OG0000001					mf_541, mf_8814, mf_11701, mf_4028, mf_1147, mf_4357, mf_649, mf_10374, mf_12560, mf_10396, mf_2080, mf_7337, mf_10085, mf_7109, mf_14708, mf_10316, mf_14790, mf_8390, mf_6177, mf_13141, mf_9903, mf_6329, mf_2074, mf_5697, mf_5655, mf_4051, mf_8815, mf_3723, mf_12819, mf_10989, mf_2001, mf_5010, mf_13311, mf_5786, mf_191, mf_8508, mf_7347, mf_4892, mf_2531, mf_6768, mf_10176, mf_3108, mf_11593, mf_9378, mf_9296, mf_12498, mf_13443, mf_6887, mf_7601, mf_4598, mf_5752, mf_5125, mf_9889, mf_2796, mf_1374, mf_14268, mf_3636, mf_6394, mf_8517, mf_4607, mf_665, mf_8366, mf_10040, mf_13636, mf_12113, mf_1341, mf_14994, mf_10844, mf_11547, mf_13164, mf_682, mf_13763, mf_3050, mf_7892, mf_7011, mf_13942, mf_999, mf_9245, mf_3829, mf_674, mf_11860, mf_4680, mf_10052, mf_9661, mf_11608, mf_2954, mf_11465, mf_5287, mf_7232, mf_13388, mf_11752, mf_2314, mf_11351, mf_12663, mf_582, mf_14604, mf_14220, mf_12120, mf_1203, mf_5273, mf_5424, mf_2333, mf_14096, mf_4897, mf_11821, mf_6142, mf_11179, mf_4890, mf_3984, mf_10835, mf_9061, mf_14715, mf_8635, mf_4151, mf_12204, mf_212, mf_92, mf_7923, mf_2195, mf_14390, mf_1206, mf_12723, mf_13270, mf_8029, mf_4404, mf_942, mf_4797, mf_8430, mf_13688, mf_6521, mf_4927, mf_6690, mf_6693, mf_2551, mf_13794, mf_10603, mf_6319, mf_5812, mf_9627, mf_9049, mf_6149, mf_10369, mf_1119, mf_5267, mf_1070														
OG0000002	g8153, g19508, g17983, g13940, g11936, g23845, g11695, g15422, g26878, g10255	g17983, g8153, g26878, g15422, g13940, g11936		g27850		g2703	g11200, g14235, g24370	g11200, g14235	g11200, g18765, g14235, g24370	g1736, g4565, g18272, g10678, g11044, g7970	g15401, g11044, g18272, g17541, g10678, g1736, g4565, g7970	g14235, g11200, g24370	g14235, g24370	g24370, g11200, g14235	g14235, g24370, g18765, g11200	g11200, g18765, g24370, g14235	g4565, g7970, g15401, g1736, g11044, g10678	g22356, g17541, g1736, g15401, g4565, g18272, g10678, g11044, g7970	g4565, g7970, g18272, g14361, g11044, g1736, g10678
OG0000003	g7995, g1847, g6530	g1847, g7995, g6530	g6530, g7995, g4927	g30697		g4679	g18618, g1309, g1308, g8575	g1309, g1308, g8575, g18618	g1308, g18618, g8575, g1309	g9235, g17378, g945, g2811	g2811, g17378, g9235, g945	g8575, g18618, g1308, g1309	g8575, g1308, g1309, g18618	g18618, g8575, g1308, g1309	g1309, g18618, g8575, g1308	g1309, g1308, g18618, g8575	g9235, g945, g2811, g17378	g21279, g9235, g15293, g2811, g945, g17378	g2811, g17378, g9235, g945
OG0000004	g12702, g9310, g10788, g18775, g18778, g10784, g18779, g10786, g21688	g9310, g10784, g10787, g21688, g18775, g12702, g18779	g12702, g10784, g18779, g10786, g21416, g21688		mf_5196, mf_9406, mf_5061, mf_13004, mf_877, mf_7324, mf_9969, mf_11140, mf_7573, mf_6072, mf_11387, mf_14893, mf_1978					g11850, g4380, g15132, g12413, g15128	g15132, g15128, g11850, g12413, g4380						g11850, g4380, g12413, g15132, g15128	g11850, g15132, g15128, g12413, g4380	g11850, g4380, g12413, g15132, g15128
OG0000005	g17115, g21391, g2548	g21391	g2548, g21391	g18593, g18483, g5439, g10549, g26151, g20775		g5706, g5751	g2911, g823, g18297	g823, g18297, g2911	g18297, g2911, g823	g9704, g14385, g4220, g14962	g9704, g4220, g14385, g14962	g823, g18297, g2911	g2911, g18297, g823	g18297, g2911, g823	g823, g2911, g18297	g18297, g2911, g823	g4220, g14385, g9704, g14962	g14962, g9704, g14385, g4220	g14385, g9704, g4220, g14962
OG0000006	g12252, g14481, g14463, g23094	g10494, g23094, g12252, g14481, g14463	g12252, g23094, g14481, g14463	g11981, g11980		g13976, g13975, g13974				g5944, g13733, g15550, g5947, g14280, g5738, g5946, g13732	g5946, g13732, g13733, g5944, g14280, g5947, g5738, g15550						g14280, g5738, g5946, g15550, g13733, g13732, g5944, g5947	g13733, g5946, g5947, g5944, g13732, g5738, g15550, g14280	g15550, g14280, g5946, g5944, g5738, g13733, g13732, g5947
OG0000007	g599, g2926, g1008, g15333, g6203	g1008, g599, g6203	g6203, g599, g15333, g1008				g21629, g3418	g21629, g3418	g3418, g21629	g15885, g7542, g6568, g6281, g15486	g7542, g15885, g17793, g6568, g6281, g15486	g3418, g21629	g21629, g3418	g21629, g3418	g3418, g21629	g3418, g21629	g7542, g6568, g6281, g15486, g15885	g17793, g15486, g15885, g6281, g6568, g7542, g21894	g6281, g15885, g15486, g7542, g17793, g6568
OG0000008	g22226, g24435, g19931, g22199	g24435, g22226, g19931, g22199	g22199, g19931, g24435, g22226		mf_5505, mf_2861, mf_10445, mf_9590	g8900, g12156, g615	g4298, g14686, g17538, g20272, g9759	g9759, g20272, g14686, g17538	g20272, g14686, g17538, g9759	g1110	g1110	g14686, g17538, g9759	g9759, g17538, g14686, g4298	g14686, g4298, g9759, g17538	g9759, g20272, g14686, g17538	g14686, g20272, g17538, g9759	g1110	g1110	g1110
OG0000009	g16766, g360, g6651	g360, g16766, g6651	g6651, g16766, g360	g16633	mf_12294		g6732, g13548, g6729	g13548, g6732, g6729	g13548, g6729, g6732	g15561, g16258, g1824, g5998	g5998, g1824, g15561, g16258	g6732, g6729, g13548	g13548, g6732, g6729	g6732, g13548, g6729	g6732, g13548, g6729	g6729, g6732, g13548	g16258, g5998, g1824, g15561	g5998, g15561, g16258, g1824	g16258, g5998, g15561, g1824
OG0000010	g17339, g4190, g4516, g213	g17339, g4516	g4516	g25028, g5079, g25234, g9715, g10256, g19453, g25186, g1135, g1132, g13969	mf_1166, mf_13847	g12858, g5024, g3143	g4859, g4864	g4859, g4864	g4864, g4859	g10291, g16807, g9786	g10291, g9786, g16807	g4859, g4864	g4864, g4859	g4859, g4864	g4864, g4859	g4859, g4864	g9786, g10291, g16807	g10291, g21449, g9786, g16807	g16807, g10291, g9786
OG0000011	g13680, g7096, g15136	g13680, g7096, g15136	g15136, g7096, g13680	g11954	mf_12415	g9781	g12119, g1324, g9387	g1324, g9387, g12119	g9387, g12119, g1324	g5126, g18973, g4223, g17373	g17373, g4223, g18973, g5126	g9387, g12119	g1324, g9387, g12119	g9387, g12119	g12119, g1324, g9387	g9387, g12119, g1324	g4223, g18973, g5126, g17373	g18973, g17373, g4223, g5126	g18973, g17373, g5126, g4223
OG0000012	g26134, g18001, g25730, g12496, g1436	g12496, g1436	g1436, g26134, g12496	g12449	mf_14810, mf_11259	g9318	g7857, g13798, g947	g947, g7857, g13798	g13798, g947, g14110, g7857	g6357	g6357	g947, g7857, g13798	g947, g7857, g14110	g7857, g947, g13798	g7857, g13798, g947, g14110	g13798, g7857, g947, g14110	g8040, g6357	g8040, g6357	g6357, g8040
OG0000013	g21555, g6889, g25176	g6889, g25176, g21555	g25176, g21555, g6889	g3257, g10035	mf_576, mf_7538	g6475	g16739, g19302, g4383	g4383, g16739, g19302	g16739, g19302, g4383	g6934, g15782	g15782, g6934	g16739, g4383, g19302	g19302, g16739, g4383	g4383, g16739, g19302	g4383, g16739, g19302	g4383, g16739, g19302	g15782, g6934	g15782, g6934	g6934, g15782
OG0000014	g13197, g8130, g8128, g8989	g8130, g8128, g8989, g13197	g13197, g8130, g8128, g8989	g7790, g7792, g7598	mf_4876	g7917	g21930, g22347	g21930, g22347	g22347, g21930	g15377, g2250, g2242	g2250, g2242, g15377	g21930, g22347	g21930, g22347	g22347, g21930	g22347, g21930	g22347, g21930	g2250, g2242, g15377	g2250, g2242, g15377	g2242, g15377, g2250
